,book_id,isbn,authors,original_publication_year,original_title,image_url,average_rating
0,2767052,439023483,Suzanne Collins,2008.0,The Hunger Games,https://images.gr-assets.com/books/1447303603m/2767052.jpg,4.34
1,3,439554934,"J.K. Rowling, Mary GrandPré",1997.0,Harry Potter and the Philosopher's Stone,https://images.gr-assets.com/books/1474154022m/3.jpg,4.44
3,2657,61120081,Harper Lee,1960.0,To Kill a Mockingbird,https://images.gr-assets.com/books/1361975680m/2657.jpg,4.25
4,4671,743273567,F. Scott Fitzgerald,1925.0,The Great Gatsby,https://images.gr-assets.com/books/1490528560m/4671.jpg,3.89
5,11870085,525478817,John Green,2012.0,The Fault in Our Stars,https://images.gr-assets.com/books/1360206420m/11870085.jpg,4.26
6,5907,618260307,J.R.R. Tolkien,1937.0,The Hobbit or There and Back Again,https://images.gr-assets.com/books/1372847500m/5907.jpg,4.25
7,5107,316769177,J.D. Salinger,1951.0,The Catcher in the Rye,https://images.gr-assets.com/books/1398034300m/5107.jpg,3.79
8,960,1416524797,Dan Brown,2000.0,Angels & Demons ,https://images.gr-assets.com/books/1303390735m/960.jpg,3.85
9,1885,679783261,Jane Austen,1813.0,Pride and Prejudice,https://images.gr-assets.com/books/1320399351m/1885.jpg,4.24
10,77203,1594480001,Khaled Hosseini,2003.0,The Kite Runner ,https://images.gr-assets.com/books/1484565687m/77203.jpg,4.26
11,13335037,62024035,Veronica Roth,2011.0,Divergent,https://images.gr-assets.com/books/1328559506m/13335037.jpg,4.24
12,5470,451524934,"George Orwell, Erich Fromm, Celâl Üster",1949.0,Nineteen Eighty-Four,https://images.gr-assets.com/books/1348990566m/5470.jpg,4.14
13,7613,452284244,George Orwell,1945.0,Animal Farm: A Fairy Story,https://images.gr-assets.com/books/1424037542m/7613.jpg,3.87
14,48855,553296981,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,https://images.gr-assets.com/books/1358276407m/48855.jpg,4.1
15,2429135,307269752,"Stieg Larsson, Reg Keeland",2005.0,Män som hatar kvinnor,https://images.gr-assets.com/books/1327868566m/2429135.jpg,4.11
16,6148028,439023491,Suzanne Collins,2009.0,Catching Fire,https://images.gr-assets.com/books/1358273780m/6148028.jpg,4.3
17,5,043965548X,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,Harry Potter and the Prisoner of Azkaban,https://images.gr-assets.com/books/1499277281m/5.jpg,4.53
18,34,618346252,J.R.R. Tolkien,1954.0, The Fellowship of the Ring,https://images.gr-assets.com/books/1298411339m/34.jpg,4.34
19,7260188,439023513,Suzanne Collins,2010.0,Mockingjay,https://images.gr-assets.com/books/1358275419m/7260188.jpg,4.03
20,2,439358078,"J.K. Rowling, Mary GrandPré",2003.0,Harry Potter and the Order of the Phoenix,https://images.gr-assets.com/books/1387141547m/2.jpg,4.46
21,12232938,316166685,Alice Sebold,2002.0,The Lovely Bones,https://images.gr-assets.com/books/1457810586m/12232938.jpg,3.77
22,15881,439064864,"J.K. Rowling, Mary GrandPré",1998.0,Harry Potter and the Chamber of Secrets,https://images.gr-assets.com/books/1474169725m/15881.jpg,4.37
23,6,439139600,"J.K. Rowling, Mary GrandPré",2000.0,Harry Potter and the Goblet of Fire,https://images.gr-assets.com/books/1361482611m/6.jpg,4.53
24,136251,545010225,"J.K. Rowling, Mary GrandPré",2007.0,Harry Potter and the Deathly Hallows,https://images.gr-assets.com/books/1474171184m/136251.jpg,4.61
25,968,307277674,Dan Brown,2003.0,The Da Vinci Code,https://images.gr-assets.com/books/1303252999m/968.jpg,3.79
26,1,439785960,"J.K. Rowling, Mary GrandPré",2005.0,Harry Potter and the Half-Blood Prince,https://images.gr-assets.com/books/1361039191m/1.jpg,4.54
