,Unnamed: 0,r_index,book_id,authors,original_title,image_url,average_rating,ratings_count,genre,cleaned_desc
0,0,1,2767052,Suzanne Collins,The Hunger Games,https://images.gr-assets.com/books/1447303603l/2767052.jpg,4.34,4780653,"fiction, fantasy",future north america rulers panem maintain control annual televised survival competition pitting young people twelve districts one another sixteen year old katniss s skills put test voluntarily takes younger sister s place
1,1,2,3,"J.K. Rowling, Mary GrandPré",Harry Potter and the Philosopher's Stone,https://images.gr-assets.com/books/1474154022l/3.jpg,4.44,4602479,"fantasy, fiction",rescued outrageous neglect aunt uncle young boy great destiny proves worth attending hogwarts school witchcraft wizardry
2,2,3,41865,Stephenie Meyer,Twilight,https://images.gr-assets.com/books/1361039443l/41865.jpg,3.57,3866839,"fantasy, fiction",160 million copies twilight saga sold worldwide addictive love story teenage girl vampire redefined romance generation here s book started all isabella swan s move forks small perpetually rainy town washington could boring move ever made meets mysterious alluring edward cullen isabella s life takes thrilling terrifying turn now edward managed keep vampire identity secret small community lives in nobody safe especially isabella person edward holds dear lovers find balanced precariously point knife between desire danger deeply romantic extraordinarily suspenseful twilightcaptures struggle defying instincts satisfying desires love story bite people want read meyer s books want climb inside live there time a literary phenomenon the new york times
3,3,4,2657,Harper Lee,To Kill a Mockingbird,https://images.gr-assets.com/books/1361975680l/2657.jpg,4.25,3198671,"classics, fiction",unforgettable novel childhood sleepy southern town crisis conscience rocked it kill mockingbird became instant bestseller critical success first published 1960 went win pulitzer prize 1961 later made academy award winning film also classic compassionate dramatic deeply moving kill mockingbird takes readers roots human behavior innocence experience kindness cruelty love hatred humor pathos 18 million copies print translated forty languages regional story young alabama woman claims universal appeal harper lee always considered book simple love story today regarded masterpiece american literature
4,4,5,4671,F. Scott Fitzgerald,The Great Gatsby,https://images.gr-assets.com/books/1490528560l/4671.jpg,3.89,2683664,"classics, fiction",young man newly rich tries recapture past win back former love despite fact married
5,5,6,11870085,John Green,The Fault in Our Stars,https://images.gr-assets.com/books/1360206420l/11870085.jpg,4.26,2346404,"fiction, romance",despite medical miracle bought years hazel never anything terminal augustus waters suddenly appears cancer kid support group hazel s story rewritten
6,6,7,5907,J.R.R. Tolkien,The Hobbit or There and Back Again,https://images.gr-assets.com/books/1372847500l/5907.jpg,4.25,2071616,"fantasy, classics",chronicles adventures inhabitants middle earth bilbo baggins hobbit brought home shire one ring power
7,7,8,5107,J.D. Salinger,The Catcher in the Rye,https://images.gr-assets.com/books/1398034300l/5107.jpg,3.79,2044241,"classics, fiction",brilliant funny meaningful novel the new yorker established j d salinger leading voice american literature and instilled millions readers around world lifelong love books if really want hear it first thing probably want know born lousy childhood like parents occupied me david copperfield kind crap feel like going it want know truth hero narrator catcher rye ancient child sixteen native new yorker named holden caufield circumstances tend preclude adult secondhand description leaves prep school pennsylvania goes underground new york city three days
8,8,9,960,Dan Brown,Angels & Demons ,https://images.gr-assets.com/books/1303390735l/960.jpg,3.85,2001311,"fiction, mystery",explosive robert langdon thriller dan brown 1 new york times bestselling author da vinci code infernonow major film directed ron howard starring tom hanks felicity jones angels demons careens enlightening epiphanies dark truths battle science religion turns war book started all meet robert langdon first time caught race time find apocalyptic time bomb planted ancient secret society surfaced carry ultimate threat destroy vatican
9,9,10,1885,Jane Austen,Pride and Prejudice,https://images.gr-assets.com/books/1320399351l/1885.jpg,4.24,2035490,"classics, fiction",early nineteenth century england spirited young woman copes suit snobbish gentleman well romantic entanglements four sisters
10,10,11,77203,Khaled Hosseini,The Kite Runner ,https://images.gr-assets.com/books/1484565687l/77203.jpg,4.26,1813044,"fiction, contemporary",kite runner khaled hosseini
11,11,12,13335037,Veronica Roth,Divergent,https://images.gr-assets.com/books/1328559506l/13335037.jpg,4.24,1903563,"fiction, fantasy",paperback features fifty pages bonus materials including sneak peek insurgent author q a discussion guide divergent playlist faction manifestos more beatrice prior s dystopian chicago world society divided five factions dedicated cultivation particular virtuecandor the honest abnegation the selfless dauntless the brave amity the peaceful erudite the intelligent appointed day every year sixteen year olds must select faction devote rest lives beatrice decision staying family really isshe can t both makes choice surprises everyone including herself highly competitive initiation follows beatrice renames tris struggles alongside fellow initiates live choice made together must undergo extreme physical tests endurance intense psychological simulations devastating consequences initiation transforms all tris must determine friends really areand where exactly romance sometimes fascinating sometimes exasperating boy fits life chosen tris also secret one kept hidden everyone warned mean death discovers unrest growing conflict threaten unravel seemingly perfect society also learns secret might help save loves might destroy her veronica roth new york times bestselling author divergent first trilogy dystopian thrillers filled electrifying decisions heartbreaking betrayals stunning consequences unexpected romance
